id,Target
76518,0
76519,0
76520,1
76521,1
76522,1
76523,0
76524,0
76525,0
76526,1
76527,0
76528,0
76529,0
76530,0
76531,1
76532,1
76533,1
76534,0
76535,0
76536,1
76537,0
76538,0
76539,0
76540,1
76541,1
76542,1
76543,0
76544,0
76545,0
76546,0
76547,1
76548,0
76549,0
76550,1
76551,1
76552,1
76553,1
76554,0
76555,0
76556,1
76557,1
76558,0
76559,0
76560,0
76561,1
76562,1
76563,1
76564,1
76565,0
76566,1
76567,1
76568,0
76569,1
76570,0
76571,0
76572,0
76573,1
76574,1
76575,1
76576,1
76577,0
76578,1
76579,0
76580,0
76581,0
76582,0
76583,1
76584,1
76585,0
76586,0
76587,1
76588,1
76589,0
76590,1
76591,0
76592,0
76593,1
76594,0
76595,1
76596,1
76597,0
76598,0
76599,1
76600,1
76601,0
76602,0
76603,0
76604,1
76605,0
76606,1
76607,0
76608,1
76609,1
76610,1
76611,1
76612,1
76613,1
76614,1
76615,1
76616,0
76617,0
76618,1
76619,1
76620,1
76621,1
76622,1
76623,0
76624,0
76625,1
76626,1
76627,1
76628,0
76629,0
76630,0
76631,1
76632,0
76633,1
76634,0
76635,0
76636,0
76637,1
76638,0
76639,0
76640,1
76641,0
76642,1
76643,1
76644,1
76645,1
76646,0
76647,1
76648,0
76649,0
76650,0
76651,1
76652,1
76653,0
76654,0
76655,1
76656,1
76657,0
76658,0
76659,0
76660,0
76661,1
76662,1
76663,1
76664,1
76665,1
76666,0
76667,0
76668,1
76669,1
76670,1
76671,1
76672,0
76673,0
76674,1
76675,0
76676,1
76677,1
76678,1
76679,0
76680,0
76681,1
76682,1
76683,0
76684,1
76685,0
76686,0
76687,0
76688,0
76689,1
76690,0
76691,0
76692,0
76693,0
76694,1
76695,0
76696,1
76697,0
76698,1
76699,1
76700,0
76701,0
76702,0
76703,0
76704,1
76705,0
76706,1
76707,1
76708,0
76709,0
76710,1
76711,1
76712,0
76713,1
76714,1
76715,0
76716,1
76717,0
76718,1
76719,0
76720,1
76721,0
76722,1
76723,0
76724,0
76725,0
76726,1
76727,1
76728,0
76729,1
76730,0
76731,1
76732,0
76733,0
76734,0
76735,0
76736,1
76737,1
76738,0
76739,0
76740,0
76741,0
76742,1
76743,1
76744,1
76745,0
76746,1
76747,0
76748,1
76749,1
76750,0
76751,0
76752,1
76753,1
76754,0
76755,1
76756,0
76757,0
76758,0
76759,1
76760,1
76761,0
76762,1
76763,0
76764,1
76765,1
76766,0
76767,0
76768,0
76769,1
76770,0
76771,1
76772,0
76773,1
76774,0
76775,0
76776,0
76777,1
76778,1
76779,1
76780,0
76781,0
76782,0
76783,1
76784,1
76785,1
76786,1
76787,0
76788,1
76789,0
76790,0
76791,0
76792,1
76793,0
76794,1
76795,0
76796,1
76797,1
76798,0
76799,0
76800,1
76801,1
76802,1
76803,0
76804,1
76805,0
76806,1
76807,0
76808,0
76809,1
76810,0
76811,1
76812,1
76813,0
76814,0
76815,1
76816,1
76817,1
76818,0
76819,0
76820,0
76821,0
76822,1
76823,1
76824,0
76825,1
76826,0
76827,1
76828,1
76829,0
76830,1
76831,0
76832,1
76833,1
76834,0
76835,1
76836,1
76837,0
76838,0
76839,0
76840,0
76841,0
76842,0
76843,0
76844,1
76845,0
76846,0
76847,0
76848,1
76849,0
76850,0
76851,0
76852,1
76853,1
76854,0
76855,0
76856,0
76857,0
76858,0
76859,1
76860,0
76861,0
76862,0
76863,1
76864,1
76865,0
76866,1
76867,1
76868,1
76869,0
76870,1
76871,0
76872,0
76873,0
76874,1
76875,0
76876,1
76877,1
76878,1
76879,0
76880,1
76881,0
76882,0
76883,0
76884,1
76885,1
76886,0
76887,1
76888,1
76889,0
76890,1
76891,0
76892,0
76893,0
76894,0
76895,1
76896,0
76897,0
76898,0
76899,0
76900,0
76901,0
76902,0
76903,0
76904,1
76905,0
76906,0
76907,1
76908,0
76909,0
76910,1
76911,1
76912,1
76913,1
76914,0
76915,0
76916,1
76917,1
76918,1
76919,0
76920,0
76921,1
76922,1
76923,0
76924,1
76925,1
76926,1
76927,0
76928,1
76929,0
76930,0
76931,0
76932,0
76933,0
76934,0
76935,0
76936,0
76937,1
76938,0
76939,1
76940,1
76941,1
76942,0
76943,0
76944,1
76945,0
76946,1
76947,0
76948,0
76949,1
76950,0
76951,0
76952,1
76953,1
76954,1
76955,0
76956,1
76957,1
76958,0
76959,0
76960,0
76961,0
76962,0
76963,0
76964,1
76965,0
76966,0
76967,1
76968,1
76969,0
76970,0
76971,1
76972,1
76973,0
76974,1
76975,1
76976,1
76977,1
76978,0
76979,1
76980,1
76981,1
76982,0
76983,0
76984,1
76985,0
76986,0
76987,0
76988,0
76989,1
76990,1
76991,1
76992,0
76993,0
76994,1
76995,0
76996,0
76997,1
76998,1
76999,0
77000,0
77001,0
77002,0
77003,1
77004,0
77005,0
77006,0
77007,1
77008,1
77009,0
77010,1
77011,0
77012,0
77013,1
77014,0
77015,0
77016,1
77017,0
77018,0
77019,0
77020,1
77021,1
77022,0
77023,0
77024,1
77025,0
77026,0
77027,0
77028,1
77029,1
77030,1
77031,0
77032,1
77033,0
77034,1
77035,1
77036,0
77037,1
77038,0
77039,1
77040,0
77041,0
77042,0
77043,1
77044,0
77045,1
77046,1
77047,1
77048,0
77049,0
77050,1
77051,1
77052,0
